"","subID","ID","mReward","mBeta","mRT","mPlaus"
"1",1,1,1.7031884057971,-2.23783035787681,0.247825652173913,0.777777778
"2",2,2,1.78571428571429,-1.97083067895238,0.218892678571429,0.677777778
"3",3,3,1.78571428571429,-2.24880893668452,0.212535595238095,0.922222222
"4",4,4,1.78571428571429,-1.84916202943452,0.229303273809524,0.477777778
"5",5,5,1.73222222222222,-2.2885787055,0.229435,0.3
"6",6,6,1.79333333333333,-1.88818471650617,0.192814814814815,0.588888889
"7",7,7,1.8710447761194,-2.18663374196269,0.298887910447761,0.866666667
"8",8,8,1.80987654320988,-2.66464208649383,0.253493333333333,0.777777778
"9",9,9,1.79609756097561,-2.6072619499878,0.295682012195122,NA
"10",10,10,1.82189189189189,-2.26691266037838,0.236986148648649,0.466666667
"11",12,12,1.79640718562874,-2.44022722349701,0.244071377245509,0.788888889
"12",13,13,1.81243902439024,-2.32790205210366,0.211938780487805,0.844444444
"13",14,14,1.85606060606061,-2.05467372134091,0.270499393939394,0.788888889
"14",15,15,1.79329341317365,-2.01341383394012,0.358747724550898,0.155555556
"15",16,16,1.82170731707317,-3.07442794206707,0.211323048780488,0.122222222
"16",17,17,1.78860606060606,-2.98796235026667,0.262878303030303,0.644444444
"17",18,18,1.78571428571429,-3.58412414951786,0.251249345238095,0.577777778
"18",19,19,1.835,-1.98870438265789,0.210664407894737,0.622222222
"19",20,20,1.78610778443114,-1.83077292364671,0.204778143712575,0.477777778
