subID	Trial	Reward	Reward.Nom	Beta	Time	RT	Max	Mean	Stddev	Plaus	FC5	FC3	FC1	C5	C3	C1	CP5	CP3	CP1
1	1	0	noReward	-2.898144577	7.82423	0.503	0.72542	0.04877	0.12756	0.777777778	-3.057607677	-2.688247574	-3.079113882	-2.733368009	-3.015934981	-3.079113882	-2.780620894	-2.748872196	-2.900422094
1	2	0.2	veryLow	-2.522572575	7.99488	0.242	0.88496	0.07889	0.19304	0.777777778	-2.813410717	-2.590267165	-2.780620894	-2.273026291	-2.282782466	-2.70306266	-2.364460497	-2.430418465	-2.465104022
1	3	1.36	low	-2.633128274	8.17	0.248	0.48294	0.04228	0.0979	0.777777778	-2.733368009	-2.718100537	-2.847312268	-2.375155786	-2.501036032	-2.847312268	-2.513306124	-2.488914671	-2.673648774
1	4	0.56	veryLow		8.34415	0.197	0.80213	0.09103	0.18142	0.777777778									
1	5	3.84	high	-2.482418857	8.52005	0.249	0.50406	0.06292	0.10888	0.777777778	-2.673648774	-2.538307427	-2.830217835	-1.883874758	-2.465104022	-2.718100537	-2.207274913	-2.407945609	-2.617295838
1	6	0	noReward	-2.239139781	8.69783	0.416	0.5971	0.04152	0.09222	0.777777778	-2.375155786	-2.551046452	-2.673648774	-1.870802677	-2.063568193	-2.453407983	-1.931021537	-2.079441542	-2.154165088
1	7	4.32	veryHigh	-2.203163245	8.87005	0.248	0.84559	0.09674	0.19726	0.777777778	-2.3227878	-2.3330443	-2.525728644	-1.737271284	-2.198225078	-2.3330443	-2.095570924	-2.128631786	-2.154165088
1	8	2.4	med		9.04486	0.237	0.63647	0.07778	0.15497	0.777777778									
1	9	1.2	low	-2.361936083	9.21925	0.198	0.53099	0.06535	0.11683	0.777777778	-2.780620894	-2.364460497	-2.63108916	-2.079441542	-2.253794929	-2.488914671	-1.980501594	-2.292634762	-2.385966702
1	10	4.28	veryHigh		9.39403	0.185	0.36971	0.05248	0.08927	0.777777778									
1	11	3.36	high		9.57018	0.254	0.92469	0.10727	0.22503	0.777777778									
1	12	3.52	high	-2.280107869	9.74511	0.249	0.50661	0.03993	0.10022	0.777777778	-2.385966702	-2.128631786	-2.465104022	-1.931021537	-2.145581344	-2.44184716	-2.234926445	-2.3227878	-2.465104022
1	13	0	noReward	-2.201070597	9.92104	0.305	0.87501	0.05662	0.16352	0.777777778	-2.253794929	-2.207274913	-2.718100537	-1.265848208	-2.128631786	-2.688247574	-1.676646662	-2.253794929	-2.617295838
1	14	4.92	veryHigh	-2.518473509	10.09676	0.349	0.54146	0.0301	0.09974	0.777777778	-2.63108916	-2.659260037	-2.780620894	-2.3227878	-2.551046452	-2.688247574	-2.282782466	-2.364460497	-2.385966702
1	15	0	noReward	-2.527689632	10.27159	0.339	0.38459	0.02129	0.05441	0.777777778	-2.900422094	-2.525728644	-2.764620553	-2.282782466	-2.385966702	-2.617295838	-2.353878387	-2.465104022	-2.453407983
1	16	0	noReward	-2.508071871	10.44513	0.248	0.74559	0.05806	0.14953	0.777777778	-2.764620553	-2.780620894	-2.900422094	-2.047942875	-2.419118909	-2.718100537	-2.3330443	-2.244316185	-2.364460497
1	17	2.56	med	-1.18420351	10.62016	0.249	1.11988	0.09145	0.22997	0.777777778	-1.32425897	-1.298283484	-1.660731207	-0.546452801	-1.030019497	-1.505077897	-0.780886095	-1.117795108	-1.394326533
1	18	4.64	veryHigh	-2.2907914	10.79423	0.193	0.69078	0.09596	0.18187	0.777777778	-2.645075402	-2.44184716	-2.577021939	-1.698269126	-2.189256408	-2.488914671	-2.055725015	-2.198225078	-2.3227878
1	19	1.76	low		10.96963	0.217	0.31736	0.04576	0.06938	0.777777778									
1	20	0.44	veryLow	-2.422120805	11.1445	0.208	0.20258	0.03331	0.04393	0.777777778	-2.353878387	-2.645075402	-2.748872196	-2.040220829	-2.430418465	-2.617295838	-2.312635429	-2.253794929	-2.396895772
1	21	0	noReward	-2.707507011	11.32063	0.276	0.50155	0.04937	0.09701	0.777777778	-2.47693848	-2.796881415	-3.170085661	-2.120263536	-2.563949857	-3.079113882	-2.47693848	-2.764620553	-2.918771232
1	22	3.28	high	-2.64864713	11.49495	0.235	0.59127	0.08358	0.14332	0.777777778	-2.513306124	-2.718100537	-3.123565645	-1.851509474	-2.63108916	-3.036554268	-2.430418465	-2.70306266	-2.830217835
1	23	4.4	veryHigh	-2.437011877	11.67023	0.25	0.43121	0.03905	0.0818	0.777777778	-2.364460497	-2.312635429	-2.748872196	-1.771956842	-2.375155786	-2.764620553	-2.453407983	-2.538307427	-2.603690186
1	24	0.12	veryLow	-1.701162666	11.84555	0.268	0.55254	0.05369	0.1098	0.777777778	-1.995100393	-1.864330162	-2.282782466	-0.687165109	-1.439695138	-2.171556831	-1.067113622	-1.63989712	-2.162823151
1	25	2.48	med		12.02241	0.38	0.38413	0.0408	0.078	0.777777778									
1	26	0	noReward		12.19538	0.259	0.22764	0.01886	0.04569	0.777777778									
1	27	0	noReward	-2.23179909	12.37103	0.295	0.80282	0.05975	0.15426	0.777777778	-2.551046452	-2.103734234	-2.244316185	-1.7837913	-2.095570924	-2.302585093	-2.120263536	-2.407945609	-2.47693848
